gene_symbol,14-3-3,actin,autophagosome,centrosome,endo_lysosome,endosome,ER,ER_Golgi,Golgi,HSP70 chaperone,HSP90 chaperone,lysosome,mitochondria,p-body,peroxisome,plasma membrane,proteasome,recycling endosome,ribosome,stress granule
ACOT7,459,5037,4787.5,4950,7389,1175,2261,3012,7250.5,5246,5040,3917.5,1445,4502,3911,6038,7312,3206.5,2983.5,3917.5
ACOT8,282,1359,7666,84,5629,4740.5,8074,6774,835,1386,6990,7052.5,7267,2060,8175,4578,5132,7698,6436,7327
ACOT9,321,1610,7045.5,4238,749,532,8217,4690.5,1552,2159,7538,3610.5,7977,346.5,7855,556,2902,7949,4215,6371
ACOX1,7264,99,7968.5,375,2381,900.5,7225,7390,149,2992,6073,7402,6364,3801,8226,781.5,6294,5075,6230,7314
ACOX3,1158,4324,7660,292,3753,2961.5,7785.5,7406,5670,2222,6820,5226,7247,326,8232,3063.5,3888,6785,5528,6970
ACP1,4506,5006.5,3817,3089,4283.5,3009,6440,487,2762,4225,6730,3263,4415,1854,5968,6350,4115.5,3837,3221.5,2702
ACP2,7699,1428,6040,4671,7696,3723.5,6980,2683,560.5,415,117,7691,5912,7605,4216,7004,337,3418,2654,3894.5
ACP6,6162,3239,7814,3355,1164,1169,6470,3494,6790,4034,7902,5219,7415,4868,7404,890,2651,4713.5,6293,6330
ACSF2,3398,3115,8112,173,2817,347,8003,3379,1821.5,3831,7903,4054,8116,490,8135,1534,1931,8017,5663,6989
ACSF3,1817,2808,7777,1181,1131,345.5,8179,3637.5,5804.5,1653,8209,4262,8181,1931,7976,742,4579,8006.5,4383,6867
ACSL1,2693,637,7420,958,4323,3278.5,7822,7111,3575,2708,6619,7131,7534,232,8095,1636.5,457,8129,2712,5258
ACSL3,7349,18,8135,860,2783,2101,7503,7950,3501,2574,6717,7637.5,6035,1136.5,5898,1552.5,6591,6326,1013,1443.5
ACSL4,5761,85,4761,4381,6757,6458,6254,1810,1134.5,174,7478,6197,7341,6212,3193,5144.5,86,7236.5,1125,2691
ACSS1,4788,2311,8077.5,1205,670,2303,8046,1363,245,1149,8167,2323,8125,2941.5,7908,3307.5,6748,6698,5766,7009
ACSS2,4756,1661,1387,5241,4048,5227,3904,2456,7186,5686,3529,1822,3114,1573.5,4063,7334,2538,6107,3190,1230
ACSS3,5540,3672,3257,527,2336,4226,4963,5343,5140,1398,7081,2299,7938,6467,3871,5212.5,5894,3799,5825,2740
ACTC1,3179,7877,5947.5,1220,642,2594,1838,324,7432,1092,6692,3775,4172,6257.5,8009,7583,1788,4247,966,1420
ACTG1,3358,8160,3922,6663.5,1212,7753.5,553,190.5,6864.5,967,1030,2079,848,6967,7660,7605,1500,4818,671,623.5
ACTL6A,2894.5,7611,7180,1838,3353,3108,5520,4954,4175,6747,6650,5282,3406,302,7247,2154,967,6758.5,3396,308
ACTMAP,5215,7638,2161,1060,7887,5936,3302.5,2144,4417.5,5370,5068,5282,2076,7593,350,5992,2606,953,4166,4979
ACTN1,5678,2224,4983,6193,566,3771,2679,1103.5,6045,605,2116,6237,1092,6463,7219,8108,92,2385,1291,1184
ACTN4,3218,556,4167.5,6983,1687,6718,1929,1202.5,7645,766,737,5141,1072,4135,7682,8216,202,5869.5,992,938
ACTR10,4689,7787,5351,6069,2078,307.5,6549,6766,260,2819,1829,7389,3638,7848,6069,7557,2829,5807.5,1180,739
ACTR1A,182,7593,2189,6866,6807,1380.5,1900.5,1586,2352,1181,413,1313,1130,8192,1681,3184.5,2745,462,5767,6998
ACTR1B,7696,8142,930,1865,5345,3411,3742.5,3519,2900.5,2303,2623,4002,3065,1435.5,5376,6118,1154,5805,6552,6305
ACTR2,745,4118,4351.5,3521,5751,8218,1914,594,7601,1263,2434,6096,3956,2647.5,7450,7873.5,369,5178,252,306
ACTR3,3781,4996,4083,2439,6116,8177,592,140,7534.5,1041,1096,6346,783,3057,6979,8025,110,5119.5,604.5,238
ACTR3B,5544,1561,5275,3934,6844,8129.5,912,946,4594,2902,2902,4404,4321,2561,7488,8083,4894,214,1972,2734
ACTR5,1400,5093,3135,3110,2198,2339,5700,5334.5,5721.5,5887,3744,633,4248,4156,7984,4125,4924,3515,2666,2654
ACTR6,2522,5779,6463,1005,831,3988,3062,5494,2024,6000,5945,3429,2894,2814,7305,262,1910,5122,6508,1216
ACTR8,878,6742,5716,3836,6498,1714,6339,1364.5,1140,1063,5428,1174,6495,1500,2140,2722.5,6073,4456,2354,6684
ACVR2A,612,1486,5635,1414,7557,6496,5287,6566,7012,1008,3408,6173,4108,4243.5,5081,8008,4197,5734,1864,1182.5
ACY1,1520,4970,5671.5,2510,5713,5664,3196,7224,4855.5,5661,4205,1077,7038,6742.5,1166,3941.5,6733.5,4462.5,4971,4703
ACYP1,411,3696,7106,5023,7050,2526.5,5770,4234,4769,3903,4486,1502.5,6446,3720.5,7060,3738,4447,475.5,3528,5616
ACYP2,3048,5825,4539,6014,6526,6248,4437,6664.5,4784,6678,4624,2262,560,5046,4938,4093,2916,1878,5885,6219
ADA,5666,4008,4368,147,752,7678,3697,6354,6153,1086,5765,1328,6129,27,3377,5711,3386,6812,4418,6052
ADAL,2246,3388,5004.5,1042,7118,6647,4312,621,5663,6389,4010,7178,5239,4486,3972,6058,4075,5825,3521,3682.5
ADAM10,5052,599,5317,4849,5326,5035.5,6697,5413,4538.5,303,2223,7328,1679,4483,4198,7692,182,6427,161,266.5
ADAM11,156,3896,2921.5,4144,7740,4782.5,4601,6210,965.5,894,2239,1837,5835,3604.5,1055,6470.5,1906,6893,2975,4455
ADAM15,5890,1041,6771.5,1265,6462,6175,6564,7395,5239,796,4588,7040,3884,1537,6501,6102.5,643,7777,1172,2098.5
ADAM17,6374,408,6013.5,7768,5757,698,7139,7475,7507,2719,2843,7222,3733,178,5768,7718.5,488,6978,430,91
ADAM22,7789,1983.5,4483,261,7503,1718.5,6223,103,2426,566,3374,4490.5,6020,6244,2868,7701,1505,5129,1533,1976.5
ADAM9,5486,2082,18.5,5333,7266,3393.5,1196,4700,2664,47,46,2147,257,7961,2424,4669,769,3230,4362,2321.5
ADAMTS1,1294,2054,2785,6409,7395,7740.5,4873,5973.5,7095,106,581,7862.5,1821,5161,97,3294.5,756,6941.5,541,1909
ADAR,2198,957,6492.5,372,3428,3359.5,4531,3544,2078,5846,2057,1405.5,1349,4535.5,5434,1819,1853,2154.5,7229,7511
ADARB1,544,4042,5348,3514,5102,2798,5482,1826,7106,3883,3243,2084,3302,4632.5,6549,2039,4517,5459.5,2941,3121.5
ADAT1,5667,7771.5,5769.5,6816,2547,7277.5,3221.5,3735.5,2153,3195,3961,4119,3212,4810,3380,5969.5,5585,1666,375,5198.5
ADAT2,6985,1825,2959,785,6384,6074,4634,6441,6911,3770,4665,5945.5,6208,2079,576,1747,5235,6324.5,2738,4994
ADAT3,167,5543,4208.5,2922,3137,5905.5,1584.5,6508,2483,4304,2056,1843.5,5535,4707,3580,3145,3856,4357,2009,6319
ADCK1,3012,3377,6703,2278,2422,7257,6118.5,963.5,4532,1164,8052,4588,8168,4410.5,3146,1107,3192,5219,3369,6393
ADCY3,2077,2186,4885.5,5742,7040,6037,4882.5,136,4363.5,753,1595,7023,1522,1917,3779,7792,752,4200,1023,742
ADCY6,6487,3963,4075,253,7873,7104,2493,1724,3509.5,6212,4631,5109,6145,1060,3775,6954,5729,5670.5,2880,3680
ADCY9,5789,3567,4470,6205,7419,7841,4976,5153,7961,924,1095,7006,1397,1420,3162,8139,2241,5538,1477,653.5
ADD1,5858,6853,1256,5543,1604.5,6830,2223,3221,6126,4501.5,1954,4098.5,2739.5,5391.5,7589,7960,2310.5,6147,828.5,1204
ADD2,6440,7196,4337,7064,2134,7778,2386,2968.5,4894,6712,2640,3307.5,2564,619,7799,8050,2882,6673.5,1275,257
ADD3,6945,7817,4019,6780,886,7361,560,1262,6993.5,6320,1688,4428,191,3811,7688,8150,2375,4982.5,736,475.5
ADGRE5,6397,751,574,5474,6988,7269,360,4861,5468,45,154,6554,336,5748,2911,5556,47,6272,831,1765
ADGRL1,7260,7926,1580,6988,3515,7631.5,2929.5,3002.5,6766.5,533,2550,2290.5,5804,6233.5,3177,7571.5,1543,5739,493,564
ADGRL2,4712,4141.5,1966.5,5452,2750,4375,2371.5,4804,5354,48,199,6310,497,6659,2330,6569.5,44,6319,1062,841.5
ADGRL3,1885,5769.5,690,7182,7480,6812,2244,2245,6377.5,2036,1824,1373.5,4773,7727,1146,7075,4878,3895,2901,1695
ADH5,7105,2250,2639,6235,4295,1411.5,4048,2560.5,549,2625,1511,6447,3256,6240,4523,5258.5,317,2932,4871,3771
ADI1,5647,3893,1723,5101,7553,7182,5680,4713,4416,5456,2389,1704,4367,8137,1223,2372,5955,2090,4214,4545
ADIPOR1,5484,4452,1268,5296,7091,7921,1236.5,4370,7994.5,177,580,6635.5,208,4657.5,2542,7469,338,2956,61,65
ADISSP,4695,3478,3491,3764,5495,4385,3023,6257,7047.5,6150,4233,3570,3091,7850,7467,6353,5771,3201,5455,1422.5
ADK,5431,7601,2135,1114,6616,3967.5,2143.5,2810,1592,4717,3607,3044,6869,7371,7074,4111.5,7568,3218.5,5212,1506.5
ADNP,238,1179,6891,6962,232,4259,6003,6248,7755,3385,2564,524,5158,105,5674,65,1590,5654,6590,1863.5
ADNP2,569,6145,2873,7609,5115,6557,3025.5,5552,810.5,3107,3576,3459,6511,662,2346,6887.5,4359,3633,6171,4555
ADO,4761,7155,2165.5,3875,3463,2816,2393.5,1886.5,192,6423,4355,2924,7351,3838.5,5797,4461,3733.5,699,1980,5350.5
ADPGK,7742,563,7755,1715,3860,1821,7605,7643,4191,3247,6666,7605,7045,988,5691,4034.5,1506,6699,2498,4293
ADPRS,1571,5878,6188,870,2081,2854.5,5535,1471.5,538,1038,8149,4604.5,7873,4575,2412,1057,3771,1479,3111,6712.5
ADRM1,868,2512,982,4859,5417,3273,4288.5,2718,4531,7738,1751,6994.5,747,7142,1108,6114,8184,5743,3620,2810.5
